EN301549,4.2.1 WV,4.2.2 LV,4.2.3 WPC,4.2.4 WH,4.2.5 LH,4.2.6 WVC,4.2.7 LMS,4.2.8 LR,4.2.9 PST,4.2.10 LC,4.2.11 P
5.1.2.1 Closed functionality,P,P,P,P,P,P,P,P,P,P,P
5.1.2.2 Assistive technology,,,,,,,,,,,S
5.1.3.1 General (belongs to 5.1.3 Non-visual access),P,S,,,,,,,,S,
5.1.3.2 Auditory output delivery including speech,P,S,,,,,,,,S,
5.1.3.3 Auditory output correlation,,P,,,,,,,,S,
5.1.3.4 Speech output user control,P,S,,,,,,,,S,
5.1.3.5 Speech output automatic interruption,P,S,,,,,,,,S,
5.1.3.6 Speech output for non-text content,P,S,,,,,,,,S,
5.1.3.7 Speech output for video information,P,S,,,,,,,,S,
5.1.3.8 Masked entry,P,S,,,,,,,,S,P
5.1.3.9 Private access to personal data,P,S,,,,,,,,S,P
5.1.3.10 Non-interfering audio output,P,S,,,,,,,,S,
5.1.3.11 Private listening volume,P,S,,,S,,,,,S,S
5.1.3.12 Speaker volume,P,S,,,S,,,,,S,
5.1.3.13 Volume reset,P,S,,,S,,,,,S,
5.1.3.14 Spoken languages,P,S,,,,,,,,S,
5.1.3.15 Non-visual error identification,P,S,,,,,,,,S,
"5.1.3.16 Receipts, tickets, and transactional outputs",P,S,,,,,,,,,
5.1.4 Functionality closed to text enlargement,,P,,,,,,,,,
5.1.5 Visual output for auditory information,,,,P,P,,,,,S,
5.1.6.1 Operation without keyboard interface (closed functionality),P,P,,,,S,P,,,,
5.1.6.2 Operation without keyboard interface (Input focus),P,P,,,,S,P,,,,
5.1.7 Access without speech,,,,,,P,,,,,
5.2 Activation of accessibility features,P,P,P,P,P,,P,,,,
5.3 Biometrics,P,P,,P,,P,P,P,,,P
5.4 Preservation of accessibility information during conversion,P,P,,P,P,,,,,S,
5.5.1 Means of operation,,,,,,,P,,,,
5.5.2 Operable part discernibility,P,S,,,,,P,,,,
5.6.1 Tactile or auditory status,P,P,,P,,,,,,S,
5.6.2 Visualstatus,,,,,,,P,P,,S,
5.7 Key repeat,,,,,,,P,,,S,
5.8 Double-strike key acceptance,,,,,,,P,P,,S,
5.9 Simultaneous user actions,,,,,,,P,P,,S,
6.1 Audio bandwidth for speech (informative recommendation),,,,,P,,,,,,
6.2.1.1 RTT communication,,,,P,S,S,,,,,
6.2.1.2 Concurrent voice and text,,,,P,P,S,,,,,
6.2.2.1 Visually distinguishable display,,,,P,S,S,,,,,
6.2.2.2 Programmatically Determinable send and receive direction,,,,P,S,S,,,,,
6.2.2.3 Speaker identification,,,,P,P,S,,,,,
6.2.2.4 Visual indicator of Audio with RTT,,,,P,P,S,,,,,
6.2.3 Interoperability,,,,P,S,S,,,,,
