1, "Visibility of system status", "https://www.nngroup.com/articles/visibility-system-status/", "1.3.1, 1.3.2, 1.3.3, 1.4.1, 1.4.3, 1.4.6, 1.4.8, 1.4.10, 1.4.11, 1.4.13, 2.2.6, 2.3.3, 2.4.7, 2.5.1, 3.2.5, 3.3.6, 4.1.3"
2, "Match between system and the real world", "https://www.nngroup.com/articles/match-system-real-world/", "1.3.6, 2.4.10, 2.5.6, 3.3.6, 4.1.3"
3, "User control and freedom", "https://www.nngroup.com/articles/user-control-and-freedom/", "1.3.3, 1.3.5, 1.3.6, 1.4.2, 1.4.4, 1.4.13, 2.1, 2.4.10, 3.3.6"
4, "Consistency and standards", "http://www.nngroup.com/articles/consistency-and-standards/", "1.3.1, 1.3.2, 1.3.3, 1.3.5, 1.4.13, 2.1.4, 2.4.4, 2.4.6, 2.4.9, 2.4.10, 2.5.1, 2.5.2, 2.5.3, 2.5.4, 2.5.6, 3.1.6, 3.2.5, 3.3.6"
5, "Error prevention", "https://www.nngroup.com/articles/slips/", "1.3.1, 1.4.1, 2.2.6, 3.2.5, 3.3.6"
6, "Recognition rather than recall", "https://www.nngroup.com/articles/recognition-and-recall/", "1.3.1, 1.3.2, 1.3.3, 1.3.5, 1.3.6, 1.4.3, 1.4.6, 1.4.8, 2.2.4, 2.4.2, 2.4.4, 2.4.6, 2.4.7, 2.4.9, 2.4.10, 3.2.5"
7, "Flexibility and efficiency of use", "https://www.nngroup.com/articles/flexibility-efficiency-heuristic/", "1.2.9, 1.3.3, 1.3.4, 1.4.2, 1.4.4, 1.4.5, 1.4.7, 1.4.8, 1.4.10, 2.1.4, 2.2.6, 2.4.1, 2.4.4, 2.4.5, 2.4.6, 2.4.7, 2.4.8, 2.4.9, 2.4.10, 2.5.1, 2.5.2, 2.5.3, 2.5.4, 2.5.6, 3.2.5, 3.3.6"
8, "Aesthetic and minimalist design", "https://www.nngroup.com/articles/aesthetic-minimalist-design/", "1.1.1, 1.3.1, 1.3.2, 1.3.5, 1.3.6, 1.4.1, 1.4.3, 1.4.5, 1.4.6"
9, "Help users recognize, diagnose, and recover from errors", "https://www.nngroup.com/articles/error-message-guidelines/", "1.3.1, 1.3.3, 1.3.5, 1.3.6, 1.4.1, 1.4.3, 1.4.6, 1.4.11, 2.2.6, 3.2.3, 3.2.4, 3.2.5, 3.3.6"
10, "Help and documentation", "https://www.nngroup.com/articles/help-and-documentation/", "1.1.1, 1.2.9, 1.3.1, 1.3.2, 1.3.5, 1.3.6, 1.4.1, 1.4.3, 1.4.5, 1.4.6, 2.1.4, 2.4.10, 3.3.6"
