num,href,alt_id
1.1.1,https://www.w3.org/TR/WCAG21/#non-text-content,non-text-content
1.2.1,https://www.w3.org/TR/WCAG21/#audio-only-and-video-only-prerecorded,audio-only-and-video-only-prerecorded
1.2.2,https://www.w3.org/TR/WCAG21/#captions-prerecorded,captions-prerecorded
1.2.3,https://www.w3.org/TR/WCAG21/#audio-description-or-media-alternative-prerecorded,audio-description-or-media-alternative-prerecorded
1.2.4,https://www.w3.org/TR/WCAG21/#captions-live,captions-live
1.2.5,https://www.w3.org/TR/WCAG21/#audio-description-prerecorded,audio-description-prerecorded
1.2.6,https://www.w3.org/TR/WCAG21/#sign-language-prerecorded,sign-language-prerecorded
1.2.7,https://www.w3.org/TR/WCAG21/#extended-audio-description-prerecorded,extended-audio-description-prerecorded
1.2.8,https://www.w3.org/TR/WCAG21/#media-alternative-prerecorded,media-alternative-prerecorded
1.2.9,https://www.w3.org/TR/WCAG21/#audio-only-live,audio-only-live
1.3.1,https://www.w3.org/TR/WCAG21/#info-and-relationships,info-and-relationships
1.3.2,https://www.w3.org/TR/WCAG21/#meaningful-sequence,meaningful-sequence
1.3.3,https://www.w3.org/TR/WCAG21/#sensory-characteristics,sensory-characteristics
1.3.4,https://www.w3.org/TR/WCAG21/#orientation,orientation
1.3.5,https://www.w3.org/TR/WCAG21/#identify-input-purpose,identify-input-purpose
1.3.6,https://www.w3.org/TR/WCAG21/#identify-purpose,identify-purpose
1.4.1,https://www.w3.org/TR/WCAG21/#use-of-color,use-of-color
1.4.2,https://www.w3.org/TR/WCAG21/#audio-control,audio-control
1.4.3,https://www.w3.org/TR/WCAG21/#contrast-minimum,contrast-minimum
1.4.4,https://www.w3.org/TR/WCAG21/#resize-text,resize-text
1.4.5,https://www.w3.org/TR/WCAG21/#images-of-text,images-of-text
1.4.6,https://www.w3.org/TR/WCAG21/#contrast-enhanced,contrast-enhanced
1.4.7,https://www.w3.org/TR/WCAG21/#low-or-no-background-audio,low-or-no-background-audio
1.4.8,https://www.w3.org/TR/WCAG21/#visual-presentation,visual-presentation
1.4.9,https://www.w3.org/TR/WCAG21/#images-of-text-no-exception,images-of-text-no-exception
1.4.10,https://www.w3.org/TR/WCAG21/#reflow,reflow
1.4.11,https://www.w3.org/TR/WCAG21/#non-text-contrast,non-text-contrast
1.4.12,https://www.w3.org/TR/WCAG21/#text-spacing,text-spacing
1.4.13,https://www.w3.org/TR/WCAG21/#content-on-hover-or-focus,content-on-hover-or-focus
2.1.1,https://www.w3.org/TR/WCAG21/#keyboard,keyboard
2.1.2,https://www.w3.org/TR/WCAG21/#no-keyboard-trap,no-keyboard-trap
2.1.3,https://www.w3.org/TR/WCAG21/#keyboard-no-exception,keyboard-no-exception
2.1.4,https://www.w3.org/TR/WCAG21/#character-key-shortcuts,character-key-shortcuts
2.2.1,https://www.w3.org/TR/WCAG21/#timing-adjustable,timing-adjustable
2.2.2,https://www.w3.org/TR/WCAG21/#pause-stop-hide,pause-stop-hide
2.2.3,https://www.w3.org/TR/WCAG21/#no-timing,no-timing
2.2.4,https://www.w3.org/TR/WCAG21/#interruptions,interruptions
2.2.5,https://www.w3.org/TR/WCAG21/#re-authenticating,re-authenticating
2.2.6,https://www.w3.org/TR/WCAG21/#timeouts,timeouts
2.3.1,https://www.w3.org/TR/WCAG21/#three-flashes-or-below-threshold,three-flashes-or-below-threshold
2.3.2,https://www.w3.org/TR/WCAG21/#three-flashes,three-flashes
2.3.3,https://www.w3.org/TR/WCAG21/#animation-from-interactions,animation-from-interactions
2.4.1,https://www.w3.org/TR/WCAG21/#bypass-blocks,bypass-blocks
2.4.2,https://www.w3.org/TR/WCAG21/#page-titled,page-titled
2.4.3,https://www.w3.org/TR/WCAG21/#focus-order,focus-order
2.4.4,https://www.w3.org/TR/WCAG21/#link-purpose-in-context,link-purpose-in-context
2.4.5,https://www.w3.org/TR/WCAG21/#multiple-ways,multiple-ways
2.4.6,https://www.w3.org/TR/WCAG21/#headings-and-labels,headings-and-labels
2.4.7,https://www.w3.org/TR/WCAG21/#focus-visible,focus-visible
2.4.8,https://www.w3.org/TR/WCAG21/#location,location
2.4.9,https://www.w3.org/TR/WCAG21/#link-purpose-link-only,link-purpose-link-only
2.4.10,https://www.w3.org/TR/WCAG21/#section-headings,section-headings
2.5.1,https://www.w3.org/TR/WCAG21/#pointer-gestures,pointer-gestures
2.5.2,https://www.w3.org/TR/WCAG21/#pointer-cancellation,pointer-cancellation
2.5.3,https://www.w3.org/TR/WCAG21/#label-in-name,label-in-name
2.5.4,https://www.w3.org/TR/WCAG21/#motion-actuation,motion-actuation
2.5.5,https://www.w3.org/TR/WCAG21/#target-size,target-size
2.5.6,https://www.w3.org/TR/WCAG21/#concurrent-input-mechanisms,concurrent-input-mechanisms
3.1.1,https://www.w3.org/TR/WCAG21/#language-of-page,language-of-page
3.1.2,https://www.w3.org/TR/WCAG21/#language-of-parts,language-of-parts
